Model,Final NTP Loss,Final KD Loss,Final Aux Loss,Final Routing KD Loss,Final Total Loss,Avg NTP Loss,Avg KD Loss,Avg Aux Loss,Avg Routing KD Loss,Avg Total Loss,KD/NTP Ratio,KD Alpha,Temperature,Routing KD Weight,Total Steps
dense_kd,1.9601815938949585,10.042472839355469,,,6.001327037811279,2.024422988295555,13.013339006900788,,,7.518881022930145,6.521088101735859,0.5,4.0,,40
moe_kd,1.9581234455108643,0.0,0.0,0.0,0.8316174745559692,1.944679793715477,13.598273356817662,0.0,0.0,7.731379374861717,7.733266877242353,0.5,4.0,0.0,40
