Model,Teacher (Knowledge Transfer),Comparison Baseline (KD Improvement),KD Accuracy Improvement,KD Accuracy Improvement (%),Accuracy Retention Rate (%),Top-2 Accuracy Retention (%),Knowledge Transfer Efficiency,Distillation Score (Normalized),Teacher-Student Accuracy Gap,Teacher-Student Gap (%),KD Effectiveness Score,Avg KD Loss,Final KD Loss,KD/Total Loss Ratio,Calibration Improvement,Compression Ratio,Efficiency Score
Dense KD,Dense Baseline,Dense Baseline,-0.0040000000000000036,-0.6024096385542174,99.3975903614458,99.87966305655837,1.8972272662230951,0.6522537765521491,0.0040000000000000036,0.6024096385542174,0.9459162730436009,13.013339006900788,10.042472839355469,1.6909272355607243,0.009761070787906681,0.5239097715442469,1.2597589047721351
MoE Standard,Dense Baseline,N/A,,,104.81927710843372,103.36943441636583,0.1624852784186397,0.1406781053938859,-0.03199999999999992,-4.819277108433722,0.7168181789624793,0.0,0.0,0.0,0.03408245912194255,6.451001477091925,0.10789022486997675
MoE KD,Dense Baseline,MoE Standard,-0.028999999999999915,-4.1666666666666545,100.45180722891567,100.84235860409146,0.1557150584845297,0.13481651766914066,-0.0030000000000000027,-0.45180722891566305,0.7549453813212464,13.598273356817662,0.0,0.7555237885909054,0.0018111115992069382,6.451001477091925,0.10339479883372774
