Model,Accuracy,Top-2 Accuracy,Perplexity,ECE,Throughput (samples/s),Latency (ms/token),Tokens/sec,FLOPs (G),Parameters (B),GPU Memory (GB)
Dense Baseline (Standard),0.659,0.837,,0.07960961914062498,11.02030501940823,0.3190158787526803,3134.640206343015,8796.093022208,7.241732096,7.026926040649414
Dense with KD,0.663,0.832,,0.07826098141074184,24.145180793049988,0.1972428311727017,5069.892751257566,8796.093022208,3.794014208,16.34663963317871
MoE Standard Training,0.697,0.856,,0.04439617943763735,19.52560228905033,0.18426037501997092,5427.102815196245,3023.656976384,46.716424448,95.07660341262817
MoE Knowledge Distillation,0.661,0.836,6.0,0.0763,18.74,0.0543,,,46.716424448,97.29
